country,province,pop
Bosnia and Herzegovina,Srpska,1218107
Bosnia and Herzegovina,NA,
Bosnia and Herzegovina,Brcko,39893
Bosnia and Herzegovina,Federation of B&H,2372000
Canada,NA,
Canada,New Brunswick,"747,101"
Canada,Ontario,"13,448,494"
Canada,Alberta,"4,067,175"
Canada,Nova Scotia,"923,598"
Canada,Newfoundland and Labrador,"519,716"
Canada,Quebec,"8,164,361"
Canada,Nunavut,"35,944"
Canada,Prince Edward Island,"142,907"
Canada,British Columbia,"4,648,055"
Canada,Yukon,"4,648,055"
Canada,Saskatchewan,"1,098,352"
Canada,Manitoba,"1,278,365"
Canada,Northwest Territories,"1,278,365"
China,Hubei,
China,Sichuan,
China,Hunan,
China,Guangdong,
China,Xinjiang,
China,Gansu,
China,Shandong,
China,Shaanxi,
China,NA,
China,Shanghai,
China,Tianjin,
China,Fujian,
China,Heilongjiang,
China,Zhejiang,
China,Anhui,
China,Hebei,
China,Ningxia Hui Autonomous Region,
China,Jiangsu,
China,Henan,
China,Jilin,
China,Guizhou,
China,Yunnan,
China,Inner Mongolia,
China,Liaoning,
China,Chongqing,
China,Jiangxi,
China,Beijing,
China,Guangxi,
China,Hainan,
China,Shanxi,
China,Qinghai,
China,Tibet,
Cyprus,Nicosia,1213560
Cyprus,NA,
Cyprus,Larnaka,51468
Germany,Baden-Wuerttemberg,
Germany,Bremen,
Germany,Thuringia,
Germany,Saxony,
Germany,North Rhine-Westphalia,
Germany,NA,
Germany,Mecklenburg-Vorpommern,
Germany,Bavaria,
Germany,Lower Saxony,
Germany,Hamburg,
Germany,Saxony-Anhalt,
Germany,Schleswig-Holstein,
Germany,Rheinland-Pfalz,
Germany,Saarland,
Germany,Hesse,
Germany,Berlin,
Germany,Brandenburg,
India,Manipur,
Japan,NA,
Japan,Saitama,
Japan,Hiroshima,
Japan,Saga,
Japan,Okayama,
Japan,Fukuoka,
Japan,Solothurn,
Japan,Tottori,
Japan,Chiba,
Japan,Hokkaido,
Japan,Fukushima,
Japan,Iwate,
Japan,Miyagi,
Japan,Akita,
Japan,Yamagata,
Japan,Okinawa,
Japan,Shimane,
Japan,Aomori,
Japan,Moscow,
Japan,Tokyo,
Japan,Oita,
Japan,Osaka,
Japan,Aichi,
Japan,Gifu,
Japan,Kanagawa,
Japan,Fukui,
Japan,Wakayama,
Japan,Yamaguchi,
Japan,Nara,
Japan,Kagoshima,
Japan,Miyazaki,
Japan,Kumamoto,
Japan,Ishikawa,
Japan,Mie,
Japan,Nagasaki,
Japan,Ibaraki,
Japan,Sakha,
Japan,Niigata,
Japan,Kyoto,
Japan,Hyogo,
Japan,Nagano,
Japan,Yamanashi,
Japan,Shizuoka,